,Type,Study,,,Templete data ,Age data,NOAA template,For J Morton to check,Uploaded to NCDC,Notes,Triple checked by CG and JR,Notes,,,,,,,,,,,,,,
Plant,SI,"Barbacka, 2011",,"Barbacka, M., 2011. Biodiversity and the reconstruction of Early Jurassic Flora from the Mecsek Mountains (southern Hungary). Acta Palaeobotanica 51, 127–179.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SI,"Barclay et al., 2010",,"Barclay, R.S., McElwain, J.C. and Sageman, B.B., 2010. Carbon sequestration activated by a volcanic CO2 pulse during Ocean Anoxic Event 2. Nat. Geosci., 3: 205–208. https://doi.org/10.1038/ngeo757.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Plant,SR,"Beerling and Royer, 2002",beerling_2002c,"Beerling, D.J., Royer, D.L., 2002. Fossil plants as indicators of the Phanerozoic global carbon cycle. Annu. Rev. Earth Pl. Sc. 30, 527–556.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SR,"Beerling et al., 1998",,"Beerling, D.J., McElwain, J.C. and Osborne, C.P., 1998. Stomatal responses of the 'living fossil' Ginkgo biloba L. to changes in atmospheric CO2 concentrations. Journal of Experimental Botany, 49(326): 1603–1607. https://doi.org/10.1093/jxb/49.326.1603.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SI,"Beerling et al., 2002",beerling_2002a,"Beerling, D.J., Lomax, B.H., Royer, D.L., Upchurch, G.R. and Kump, L.R., 2002. An atmospheric pCO2 reconstruction across the Cretaceous-Tertiary boundary from leaf megafossils. Proc. Natl. Acad. Sci. U.S.A., 99(12): 7836–7840.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SI,"Beerling et al., 2009",,"Beerling, D.J., Fox, A. and Anderson, C.W., 2009. Quantitative uncertainty analyses of ancient atmospheric CO2 estimates from fossil leaves. Am. J. Sci., 309(9): 775–787. https://doi.org/10.2475/09.2009.01.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SI,Beerling. 2002,beerling_2002b,"Beerling, D.J., 2002. Low atmospheric CO2 levels during the Permo- Carboniferous glaciation inferred from fossil lycopsids. Proc. Natl. Acad. Sci. U.S.A., 99(20): 12567–12571. https://doi.org/10.1073/pnas.202304999.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SR,"Bonis et al., 2010",,"Bonis, N.R., Van Konijnenburg-Van Cittert, J.H.A. and Kürschner, W.M., 2010. Changing CO2 conditions during the end-Triassic inferred from stomatal frequency analysis on Lepidopteris ottonis (Goeppert) Schimper and Ginkgoites taeniatus (Braun) Harris. Palaeogeogr. Palaeocl., 295(1): 146?161. https://doi.org/10.1016/j.palaeo.2010.05.034.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Chen et al., 2001",,"Chen, L.-Q., Li, C.-S., Chaloner, W. G., Beerling, D. J., Sun, Q.-G., Collinson, M. E., and Mitchell, P. L., 2001, Assessing the potential for the stomatal characters of extant and fossil Ginkgo leaves to signal atmospheric CO2 change: American Journal of Botany, v. 88, p. 1309-1315, doi: 10.2307/3558342.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SI,"Du et al., 2016",,"Du, B.X., Sun, B.N., Zhang, M.Z., Yang, G.L., Xing, L., Tang, F., & Bai, Y. (2016). Atmospheric palaeo-CO2 estimates based on the carbon isotope and stomatal data of Cheirolepidiaceae from the Lower Cretaceous of the Jiuquan Basin, Gansu Province. Cretaceous Research, 62, 142-153.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,Franks,"Du et al., 2018",,"Du, B.X., Lei, X.T., Zhang, M.Z., Wang, S., Li, A.J., Du, Z., & Xing, W.W. (2018). Late early Cretaceous climate and pCO2 estimates in the Liupanshan Basin, northwest China. Palaeogeography, Palaeoclimatology, Palaeoecology, 503, 26-39.",X,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SI,"Du et al., 2018",,"Du, B.X., Lei, X.T., Zhang, M.Z., Wang, S., Li, A.J., Du, Z., & Xing, W.W. (2018). Late early Cretaceous climate and pCO2 estimates in the Liupanshan Basin, northwest China. Palaeogeography, Palaeoclimatology, Palaeoecology, 503, 26-39.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
